STATUS | wrapper  | 2023/03/08 09:56:45 | --> Wrapper Started as Console
INFO   | jvm 2    | 2023/03/08 15:58:19 | 2023-03-08 15:58:19,582 INFO  [138@MessageListener for MaterialUpdateListener] ScmMaterialUpdater:60 - [Material Update] Found '2' modifications for material 'GitMaterial{url=https://github.com/mehdi1-3/gocd, branch='master', shallowClone=false, submoduleFolder='null'}' with flyweight '0824dc982ad52193ccc2cc41a13fbf254bcc00012cf78af3a609470a7c9d334a' using working directory '/go-working-dir/pipelines/flyweight/77b41907-5173-463d-91f9-e8290f5fa1c0'
INFO   | jvm 2    | 2023/03/08 15:58:20 | 2023-03-08 15:58:20,392 ERROR [124@MessageListener for ConfigMaterialUpdateListener] GoConfigRepoConfigDataSource:175 - Failed to parse configuration material https://github.com/mehdi1-3/gocd by Plugin yaml.config.plugin
INFO   | jvm 2    | 2023/03/08 15:58:20 | com.thoughtworks.go.plugin.access.configrepo.InvalidPartialConfigException: 
INFO   | jvm 2    | 2023/03/08 15:58:20 | pipeline.gocd.yaml;
INFO   | jvm 2    | 2023/03/08 15:58:20 | 1. Failed to parse pipeline pipeline; class java.util.ArrayList cannot be cast to class java.util.Map (java.util.ArrayList and java.util.Map are in module java.base of loader 'bootstrap')
INFO   | jvm 2    | 2023/03/08 15:58:20 | 
INFO   | jvm 2    | 2023/03/08 15:58:20 | 	at com.thoughtworks.go.config.ConfigRepoPlugin.parseDirectory(ConfigRepoPlugin.java:97)
INFO   | jvm 2    | 2023/03/08 15:58:20 | 	at com.thoughtworks.go.config.ConfigRepoPlugin.load(ConfigRepoPlugin.java:64)
INFO   | jvm 2    | 2023/03/08 15:58:20 | 	at com.thoughtworks.go.config.GoConfigRepoConfigDataSource.onCheckoutComplete(GoConfigRepoConfigDataSource.java:162)
INFO   | jvm 2    | 2023/03/08 15:58:20 | 	at com.thoughtworks.go.server.materials.ConfigMaterialUpdateListener.updateConfigurationFromCheckout(ConfigMaterialUpdateListener.java:99)
INFO   | jvm 2    | 2023/03/08 15:58:20 | 	at com.thoughtworks.go.server.materials.ConfigMaterialUpdateListener.onMessage(ConfigMaterialUpdateListener.java:84)
INFO   | jvm 2    | 2023/03/08 15:58:20 | 	at com.thoughtworks.go.server.materials.ConfigMaterialUpdateListener.onMessage(ConfigMaterialUpdateListener.java:36)
INFO   | jvm 2    | 2023/03/08 15:58:20 | 	at com.thoughtworks.go.server.messaging.activemq.JMSMessageListenerAdapter.runImpl(JMSMessageListenerAdapter.java:83)
INFO   | jvm 2    | 2023/03/08 15:58:20 | 	at com.thoughtworks.go.server.messaging.activemq.JMSMessageListenerAdapter.run(JMSMessageListenerAdapter.java:63)
INFO   | jvm 2    | 2023/03/08 15:58:20 | 	at java.base/java.lang.Thread.run(Unknown Source)
INFO   | jvm 2    | 2023/03/08 15:59:50 | 2023-03-08 15:59:50,116 ERROR [125@MessageListener for ConfigMaterialUpdateListener] GoConfigRepoConfigDataSource:175 - Failed to parse configuration material https://github.com/mehdi1-3/gocd by Plugin yaml.config.plugin
INFO   | jvm 2    | 2023/03/08 15:59:50 | com.thoughtworks.go.plugin.access.configrepo.InvalidPartialConfigException: 
INFO   | jvm 2    | 2023/03/08 15:59:50 | pipeline.gocd.yaml;
INFO   | jvm 2    | 2023/03/08 15:59:50 | 1. Failed to parse pipeline pipeline; class java.util.ArrayList cannot be cast to class java.util.Map (java.util.ArrayList and java.util.Map are in module java.base of loader 'bootstrap')
INFO   | jvm 2    | 2023/03/08 15:59:50 | 
INFO   | jvm 2    | 2023/03/08 15:59:50 | 	at com.thoughtworks.go.config.ConfigRepoPlugin.parseDirectory(ConfigRepoPlugin.java:97)
INFO   | jvm 2    | 2023/03/08 15:59:50 | 	at com.thoughtworks.go.config.ConfigRepoPlugin.load(ConfigRepoPlugin.java:64)
INFO   | jvm 2    | 2023/03/08 15:59:50 | 	at com.thoughtworks.go.config.GoConfigRepoConfigDataSource.onCheckoutComplete(GoConfigRepoConfigDataSource.java:162)
